"","state","so2","no2","totalspm"
"1","Andhra Pradesh",6.759,21.868,133.154
"2","Assam",6.288,14.873,130.359
"3","Bihar",14.599,32.521,203.911
"4","Chandigarh",2.74,20.704,161.986
"5","Chhattisgarh",13.722,27.697,196.348
"6","Dadra & Nagar Haveli",9.757,19.312,132.543
"7","Daman & Diu",9.797,19.133,125.017
"8","Delhi",8.053,54.884,305.038
"9","Goa",5.976,13.543,83.127
"10","Gujarat",16.223,25.037,147.495
"11","Haryana",16.466,26.996,218.573
"12","Himachal Pradesh",2.779,13.119,140.297
"13","Jammu & Kashmir",7.739,12.597,157.863
"14","Jharkhand",21.907,43.538,216.267
"15","Karnataka",11.323,24.809,119.015
"16","Kerala",5.492,14.565,67.133
"17","Madhya Pradesh",11.737,16.006,150.915
"18","Maharashtra",14.029,29.358,148.769
"19","Manipur",4.013,19.846,129.365
"20","Meghalaya",17.852,12.651,84.185
"21","Mizoram",2.098,6.842,64.624
"22","Nagaland",2.079,10.364,107.816
"23","Odisha",5.675,16.747,129.542
"24","Puducherry",9.844,14.011,66.708
"25","Punjab",10.967,29.123,220.682
"26","Rajasthan",10.04,34.265,212.795
"27","Sikkim",19.8,26.8,53.5
"28","Tamil Nadu",11.684,19.949,99.529
"29","Uttar Pradesh",12.409,25.656,273.522
"30","Uttarakhand",24.749,27.393,228.111
"31","Uttaranchal",23.507,25.667,189.37
"32","West Bengal",14.327,57.431,177.112
